wins,loss
8,2
25,21
9,5
27,42
60,58
17,21
29,33
8,14
5,7
41,48
35,50
6,10
22,22
4,13
9,16
34,40
16,20
8,11
23,21
29,21
6,9
16,17
8,6
8,9
6,10
11,19
87,84
12,13
13,19
50,80
9,8
19,10
17,16
18,15
5,5
27,35
6,5
39,47
13,20
19,9
5,7
5,11
34,34
5,7
14,8
11,7
12,10
18,21
85,92
18,29
6,8
44,43
35,43
14,25
6,4
5,5
8,11
7,7
8,2
37,68
12,12
12,8
8,7
21,21
11,5
49,55
22,8
18,19
40,36
4,13
8,9
12,9
8,4
8,17
6,4
5,5
73,84
14,10
7,9
19,16
14,26
7,12
10,20
6,4
16,14
16,18
4,6
7,5
31,30
5,7
10,10
10,12
17,19
12,11
9,15
6,5
9,4
3,11
9,5
8,10
54,64
6,12
7,3
12,10
8,15
12,25
63,55
4,6
5,7
19,24
5,5
14,12
9,9
22,35
24,15
25,36
10,12
12,18
31,19
23,34
18,18
4,14
36,49
5,12
9,6
4,6
48,30
6,6
11,13
23,21
51,73
5,7
5,5
6,18
7,16
4,6
28,33
10,14
16,7
37,46
12,24
33,39
58,58
6,8
20,29
6,12
11,10
16,20
7,9
39,35
8,3
6,4
4,6
107,93
13,18
29,32
6,8
23,26
13,9
4,9
9,6
10,9
6,12
23,18
9,5
27,38
9,5
12,16
9,12
24,31
8,4
36,42
26,32
13,10
7,3
6,4
8,11
5,14
45,56
17,18
10,14
6,4
17,14
17,35
3,8
26,37
9,14
12,7
3,13
5,12
8,4
27,29
7,3
6,9
3,7
4,6
20,30
5,9
8,8
18,16
26,39
12,26
7,6
4,7
55,52
6,7
78,115
9,6
24,27
8,12
38,48
14,10
18,17
7,6
9,7
30,48
27,22
40,41
52,63
77,67
7,5
18,12
17,17
12,8
7,5
64,70
3,8
10,6
18,33
33,36
7,11
81,107
58,76
5,8
49,61
17,13
11,6
7,21
16,11
32,22
16,16
47,61
10,3
11,15
15,11
4,10
16,19
5,6
32,42
33,17
24,16
2,8
51,56
14,13
32,23
9,3
31,56
50,66
14,16
10,18
4,6
27,27
5,6
12,16
14,13
86,90
28,26
18,12
4,8
18,16
5,13
